Iteration	Y	var_1
1.0	2154.7880833406234	-1.3747932618944136
2.0	3592.110396957279	-0.4706207707867538
3.0	6147.297695347683	1.534532722725694
4.0	6123.678973088332	1.5083230235279803
5.0	7019.5824573054615	2.764489824607608
6.0	5162.782974095854	-4.605170185988091
7.0	1357.4860343232892	-2.024323575033812
8.0	1111.3915616687586	-2.39848805032226
9.0	1066.6404487266095	-2.617514513286426
10.0	7744.439530573602	4.603383399242246
11.0	1129.5255136847059	-2.8897291925617283
12.0	1681.4309479051635	-3.423758760450265
13.0	1074.4240984804592	-2.7212909318900316
14.0	5742.159909144123	1.1177818358997609
15.0	6905.904598307719	2.5655479680070776
16.0	2333.097372937803	-3.754506603525851
17.0	4840.339096210757	0.3660221288800196
18.0	5092.7779868719235	0.5584926316283294
19.0	5793.39126527606	1.167003102723557
20.0	7126.442965226056	2.967012131969012
21.0	7330.369180377544	3.404667456012265
22.0	4647.418466352448	0.22586154863772023
23.0	5351.733515383277	0.7688646102114873
24.0	6304.568893983473	1.7162637610369584
25.0	4512.589055393511	0.13094105953929613
26.0	1071.210380043085	-2.5546229948369588
27.0	1555.3174855359484	-1.8302605954957403
28.0	2719.1676992587463	-1.0100041761577954
29.0	7135.57345077213	2.985090657680831
30.0	2067.1451364950217	-3.6340425021055807
31.0	4713.016112849793	0.2729134449052282
