Iteration	Y	var_1
1.0	7616.110395062544	64.9495597683601
2.0	7619.8933670265	65.71933619296922
3.0	6920.182289482429	13.325570119134696
4.0	7144.2182774437815	20.132325151567336
5.0	6288.622596123121	5.45882993895356
6.0	5162.782974095855	0.01
7.0	7744.934144918623	100.0
8.0	7457.951924405147	41.3158706022276
9.0	7693.231741891603	83.43690092674024
10.0	7342.062605715775	30.943194542991098
11.0	7540.850484215098	51.88471998487794
12.0	7721.904588041623	92.12204914623221
13.0	2730.27467582004	0.366750525933383
14.0	5162.782974095855	0.01
15.0	3114.938692401119	0.46515921719266956
16.0	2445.181870638173	0.30625934987648096
17.0	2174.748582407733	0.2563359863121571
18.0	1948.8463682596498	0.2189849400507603
19.0	3922.250432552345	0.7694702532847942
20.0	1759.3604280786335	0.1899889199158639
21.0	4476.646366038408	1.1118411840362636
22.0	4916.807909535056	1.5267780971602392
23.0	5275.546807337036	2.0247496539570093
24.0	1601.3062882592762	0.16695136804960237
25.0	7734.359245956992	96.2745769682398
26.0	5635.702876742906	2.768369352914519
27.0	7490.31902533589	45.0564645907812
28.0	6669.10945505559	8.988453555691729
29.0	7665.351717641933	76.01798062425043
30.0	7240.4059352350505	24.591012960043003
31.0	7397.623741829791	35.40409884775037
32.0	5879.370511318801	3.4962453108784364
33.0	7709.5196004566305	88.22804733579218
34.0	1472.5027477258357	0.14857959379752944
35.0	7561.3771821004775	55.06378889110197
36.0	7518.886486679959	48.7541367014481
37.0	1363.5099398561958	0.13295814751876156
38.0	1271.9713284002792	0.11937338133940643
